TICKER,DATE,FACTOR_1,FACTOR_2
IBM,2022-01-01,0.1,0.2
IBM,2022-02-01,0.1,0.2
IBM,2022-03-01,0.1,0.2
IBM,2022-04-01,0.1,0.2
IBM,2022-05-01,0.1,0.2
IBM,2022-06-01,0.1,0.2
IBM,2022-07-01,0.1,0.2
IBM,2022-08-01,0.1,0.2
IBM,2022-09-01,0.1,0.2
IBM,2022-10-01,0.1,0.2
IBM,2022-11-01,0.1,0.2
MSFT,2022-01-01,0.5,0.2
MSFT,2022-02-01,0.5,0.2
MSFT,2022-03-01,0.5,0.2
MSFT,2022-04-01,0.5,0.2
MSFT,2022-05-01,0.5,0.2
MSFT,2022-06-01,0.5,0.2
MSFT,2022-07-01,0.5,0.2
MSFT,2022-08-01,0.5,0.2
MSFT,2022-09-01,0.5,0.2
MSFT,2022-10-01,0.5,0.2
MSFT,20.05-11-01,0.5,0.05
